"","int_vote_trump","voted_trump","int_vote_clinton","voted_clinton","lib_conserv_scale","white_voter","latino_voter","swing_voter","swing_trump","swing_hillary","region","age","religion_important_life"
"419",1,1,0,0,6,1,0,0,0,0,"Midwest",53,1
"420",0,0,1,1,3,1,0,0,0,0,"Midwest",65,0
"421",0,0,0,1,4,0,0,0,0,1,"Northeast",72,1
"422",1,1,0,0,5,1,0,0,0,0,"South",38,1
"423",1,1,0,0,6,1,0,0,0,0,"Northeast",71,1
"424",1,1,0,0,6,1,0,0,0,0,"West",51,1
"425",1,1,0,0,5,1,0,0,0,0,"South",34,1
"426",1,0,0,0,6,1,0,1,0,0,"West",54,1
"427",1,1,0,0,5,1,0,0,0,0,"South",53,1
"428",0,0,1,1,4,0,0,0,0,0,"South",56,1
"429",0,0,1,1,3,0,0,0,0,0,"Midwest",27,1
"430",0,0,0,0,4,1,0,0,0,0,"South",21,1
"431",0,0,1,1,4,0,1,0,0,0,"Northeast",66,1
"432",0,0,0,0,4,1,0,0,0,0,"South",81,1
"433",0,0,1,1,4,1,0,0,0,0,"Midwest",79,1
"434",0,0,1,1,6,1,1,0,0,0,"South",63,1
"435",0,0,1,1,2,0,1,0,0,0,"Northeast",54,1
"436",0,0,1,0,4,0,1,0,0,0,"West",50,1
