"int_vote_trump","voted_trump","int_vote_clinton","voted_clinton","lib_conserv_scale","white_voter","latinx_voter","swing_voter","swing_trump","swing_hillary","region","age","religion_important_life"
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",27,1
0,0,0,1,-1.35275480224597,1,0,0,0,1,"South",45,1
1,0,0,0,0.521501851318627,1,0,1,0,0,"West",66,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"West",51,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"South",58,1
1,0,0,0,1.14625406917349,0,0,1,0,0,"West",34,1
1,1,0,0,1.77100628702836,1,0,0,0,0,"West",80,1
1,0,0,0,1.77100628702836,1,0,1,0,0,"South",26,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",35,1
0,0,0,0,0.521501851318627,0,0,0,0,0,"West",33,0
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",48,1
0,0,1,1,-0.728002584391104,1,1,0,0,0,"West",67,1
0,1,0,0,-0.103250366536238,1,0,1,1,0,"West",39,1
1,1,0,0,0.521501851318627,1,0,0,0,0,"Northeast",27,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"South",71,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"Northeast",36,1
0,0,0,1,-0.103250366536238,0,1,0,0,1,"West",53,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"West",35,0
0,0,1,1,-0.103250366536238,1,0,0,0,0,"Northeast",66,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"Midwest",49,1
1,1,0,0,1.14625406917349,1,1,0,0,0,"West",63,1
1,0,0,0,1.77100628702836,1,0,1,0,0,"South",88,1
0,0,0,0,-0.728002584391104,1,0,0,0,0,"West",23,0
0,0,1,0,-0.103250366536238,0,0,0,0,0,"Northeast",71,1
0,0,0,0,1.77100628702836,1,1,0,0,0,"West",65,1
0,0,0,0,0.521501851318627,1,0,0,0,0,"Northeast",27,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"South",69,1
1,0,0,0,1.14625406917349,1,0,1,0,0,"South",66,1
0,0,0,0,-0.728002584391104,1,0,0,0,0,"South",42,0
1,1,0,0,1.14625406917349,1,0,0,0,0,"Northeast",74,1
0,0,0,0,0.521501851318627,0,0,0,0,0,"West",26,0
0,0,1,0,-0.728002584391104,1,0,0,0,0,"West",40,0
1,0,0,0,1.14625406917349,1,0,1,0,0,"South",81,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"Midwest",59,1
0,0,1,1,-0.728002584391104,1,0,0,0,0,"Midwest",42,0
0,0,0,1,-0.103250366536238,1,0,0,0,1,"Midwest",46,1
0,0,0,0,0.521501851318627,1,0,0,0,0,"South",36,1
1,0,0,0,0.521501851318627,1,0,1,0,0,"Midwest",63,1
1,0,0,0,0.521501851318627,1,0,1,0,0,"West",71,1
1,1,0,0,1.14625406917349,0,0,0,0,0,"South",56,1
0,0,1,1,-1.35275480224597,0,0,0,0,0,"Northeast",43,0
0,0,1,1,-1.35275480224597,1,0,0,0,0,"South",46,0
1,0,0,0,0.521501851318627,1,0,1,0,0,"Northeast",21,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"West",74,1
0,0,1,1,-0.103250366536238,0,0,0,0,0,"South",61,0
0,0,1,1,1.14625406917349,0,0,0,0,0,"South",65,1
0,0,0,1,-0.103250366536238,0,0,0,0,1,"West",41,1
1,1,0,0,0.521501851318627,1,0,0,0,0,"West",66,1
0,0,1,1,0.521501851318627,1,1,0,0,0,"West",54,1
0,0,0,0,1.77100628702836,0,0,0,0,0,"Midwest",35,1
0,0,1,0,-1.97750702010084,1,0,0,0,0,"Midwest",45,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Northeast",31,0
0,0,1,1,-0.103250366536238,0,1,0,0,0,"Northeast",40,1
1,1,0,0,1.14625406917349,1,1,0,0,0,"West",71,1
0,0,1,1,-0.103250366536238,1,0,0,0,0,"Midwest",34,0
0,0,0,0,-0.103250366536238,0,0,0,0,0,"South",27,1
1,1,0,0,0.521501851318627,1,0,0,0,0,"South",68,1
0,0,0,0,-0.103250366536238,1,1,0,0,0,"South",62,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",76,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"Midwest",69,1
