"precinct","elecyear","propturbine","perc_lib"
"18.063.18.140.",2007,0,0.351955307
"18.114.18.96.",2007,0,0.169491525
"18.134.18.20.",2007,0,0.233009709
"18.180.18.43.",2007,0,0.213872832
"18.183.18.98.",2007,0,0.186528497
"18.192.18.108.",2007,0,0.229166667
"18.196.18.152.",2007,0,0.503030303
"19.005.19.3.",2007,0,0.30044843
"19.011.19.65.",2007,0,0.282945736
"19.019.19.66.",2007,0,0.254480287
"19.070.19.71.",2007,0,0.272357724
"19.075.19.57.",2007,0,0.290178571
"19.082.19.31.",2007,0,0.370535714
"19.084.19.77.",2007,0,0.287128713
"19.098.19.195.",2007,0,0.231213873
"19.099.19.193.",2007,0,0.238493724
"19.124.19.177.",2007,0,0.289377289
"19.125s.19.711.",2007,0,0.24137931
"2.033s.2.700.",2007,0,0.333333333
"2.036.2.20.",2007,0,0.188118812
"2.048.2.30.",2007,0,0.307692308
"2.065.2.39.",2007,0,0.382550336
"2.073.2.56.",2007,0,0.223214286
"2.075.2.46.",2007,0,0.43902439
"2.083.2.82.",2007,0,0.51875
"2.106.2.110.",2007,0,0.327586207
"2.110.2.52.",2007,0,0.37962963
"2.112.2.58.",2007,0,0.416666667
"2.131.2.116.",2007,0,0.476923077
"2.145.2.112.",2007,0,0.359550562
"2.149.2.60.",2007,0,0.414285714
"2.152.2.63.",2007,0,0.27027027
"2.163.2.72.",2007,0,0.411290323
"2.166.2.75.",2007,0,0.264
"2.175.2.103.",2007,0,0.4375
"2.176.2.105.",2007,0,0.409090909
"2.177.2.107.",2007,0,0.375
"2.179.2.121.",2007,0,0.5
"2.198.2.135.",2007,0,0.465116279
"2.207.2.137.",2007,0,0.482014388
"21.003.21.4.",2007,0,0.404109589
"21.008.21.7.",2007,0,0.3875
"21.021.21.20.",2007,0,0.389121339
"21.036.21.25.",2007,0,0.470873786
"21.049.21.41.",2007,0,0.484536082
"21.055.21.53.",2007,0,0.306666667
"21.077.21.88.",2007,0,0.421052632
"21.169.21.112.",2007,0,0.318518519
"21.170.21.125.",2007,0,0.429319372
"21.196.21.118.",2007,0,0.263959391
"21.201.21.92.",2007,0,0.524324324
"21.203.21.128.",2007,0,0.344155844
"21.211.21.95.",2007,0,0.45890411
"21.222.21.131.",2007,0,0.617886179
"22.001.22.6.",2007,0,0.528089888
"22.003.22.4.",2007,0,0.522727273
"22.013.22.30.",2007,0,0.519480519
